TIME(s), ROOM SIZE, GENERATED ROOM, ARCHETYPE, GENERATION BIAS,PARENT,TREE LAYER
331.0502,3x3,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,2x3 Rectangle Archetype ,31
331.4045,3x3,2x3 Rectangle Sample Room Variant(Clone),2x3 Rectangle Archetype ,30,1x2 Rectangle Archetype ,32
331.7935,3x3,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,2x3 Rectangle Archetype ,33
332.3114,3x3,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,2x3 Rectangle Archetype ,33
332.4946,3x3,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,1x3 Rectangle Archetype ,34
332.8465,3x3,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,1x3 Rectangle Archetype ,35
333.3909,3x3,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x3 Rectangle Archetype ,35
333.5948,3x3,2x3 T Sample Room Variant(Clone),2x3 T Archetype ,25,1x1 Square Archetype ,36
333.9482,3x3,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,2x3 T Archetype ,37
334.2827,3x3,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x1 Square Archetype ,38
334.66,3x3,2x3 Rectangle Sample Room Variant(Clone),2x3 Rectangle Archetype ,30,1x2 Rectangle Archetype ,39
335.1876,3x3,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x2 Rectangle Archetype ,39
335.3909,3x3,2x3 Rectangle Sample Room Variant(Clone),2x3 Rectangle Archetype ,30,1x1 Square Archetype ,40
335.75,3x3,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,2x3 Rectangle Archetype ,41
336.0926,3x3,2x2 L Sample Room Variant(Clone),2x2 L Archetype ,20,1x2 Rectangle Archetype ,42
336.4554,3x3,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x2 Rectangle Archetype ,42
336.6448,3x3,2x2 L Sample Room Variant(Clone),2x2 L Archetype ,20,1x1 Square Archetype ,43
